============================================================
llms-full.txt - DevUI Pencil Design System
============================================================

# 1. METADATA | 元数据

PROJECT_NAME: DevUI Design System (华为云 DevUI 设计系统)
SOURCE_FORMAT: Pencil .pen (version 2.x)
SOURCE_PATH: designsystem/devUI/components/devUI.pen
SYNC_TARGET: Angular (ng-devui) / Vue (vue-devui) / React
LAYOUT_ENGINE: Pencil Auto Layout (Flex-compatible)
DESIGN_PHILOSOPHY: 沉浸 (Immersive) · 灵活 (Flexible) · 至简 (Simplistic)
REFERENCE_DOC: https://devui.design/design-cn/start
THEME_MODES: Light (浅色模式) / Dark (深色模式)
REUSABLE_COMPONENTS: 0 (本文件为设计规范展示文档，组件以命名约定呈现)

============================================================

# 2. GLOBAL DESIGN TOKENS | 全局设计令牌

============================================================

## 2.1 Colors - Light Mode | 浅色模式颜色

### 2.1.1 Primary Colors | 主要颜色
| Token Name | Hex | Usage |
|------------|-----|-------|
| brand-primary | #5E7CE0 | 主色_默认，品牌主色、主按钮、激活态 |
| brand-primary-hover | #7693F5 | 主色_悬浮，交互悬浮态 |
| brand-primary-active | #526ECC | 主色_点击，交互按下态 |
| border-disabled-bg | #F5F5F6 | 边框_禁用背景色 |
| border-disabled-border | #DFE1E6 | 边框_禁用边框色 |
| border-primary | #5E7CE0 | 边框_主色 |

### 2.1.2 Secondary Colors | 次要颜色
| Token Name | Hex | Usage |
|------------|-----|-------|
| nav-bg | #282B33 | 导航栏_背景 |
| nav-title-bar | #464C59 | 导航栏_标题栏 |
| nav-hover | #5C6173 | 导航栏_悬浮 |
| white | #FFFFFF | 纯白 |
| global-notification | #464D6E | 全局通知背景 |

### 2.1.3 Background & Border Colors | 背景色&边框色
| Token Name | Hex | Usage |
|------------|-----|-------|
| bg-disabled | #F5F5F6 | 禁用背景 |
| bg-page | #EEF0F5 | 页面背景 |
| divider | #DFE1E6 | 分割线 |
| border-default | #ADB0B8 | 默认边框色 |
| bg-hover | #F2F5FC | 悬浮背景 |
| bg-component | #E9EDFA | 组件底色 |

### 2.1.4 Auxiliary Colors | 辅助颜色
| Token Name | Hex | Hex (Bordered) | Usage |
|------------|-----|----------------|-------|
| success | #3DCCA6 | bg:#E2F7F2 border:#3DCCA6 | 成功状态 |
| warning | #FA9841 | bg:#FFF3E8 border:#FA9841 | 警告状态 |
| danger | #F66F6A | bg:#FFEEED border:#F66F6A | 错误/危险状态 |
| info | #5E7CE0 | bg:#E9EDFA border:#5E7CE0 | 提示/信息状态 |

### 2.1.5 Text Colors | 文字颜色
| Token Name | Hex | Usage |
|------------|-----|-------|
| text-primary | #252B3A | 主要文字 |
| text-secondary | #575D6C | 次要文字 |
| text-placeholder | #8A8E99 | 占位文字 |

---

## 2.2 Colors - Dark Mode | 深色模式颜色

### 2.2.1 Primary Colors | 主要颜色
| Token Name | Hex | Usage |
|------------|-----|-------|
| dark-brand-primary | #5E7DE0 | 主色_默认 |
| dark-brand-primary-hover | #7693F5 | 主色_悬浮 |
| dark-brand-primary-active | #526ECC | 主色_点击 |
| dark-border-disabled-bg | #4A4A4A | 边框_禁用背景 |
| dark-border-disabled-border | #949494 | 边框_禁用边框 |

### 2.2.2 Secondary Colors | 次要颜色
| Token Name | Hex | Usage |
|------------|-----|-------|
| dark-nav-bg | #222222 | 导航栏_背景 |
| dark-nav-title-bar | #3F3F3F | 导航栏_标题栏 |
| dark-nav-hover | #2D2D2D | 导航栏_悬浮 |
| dark-global-notification | #3F3F3F | 全局通知 |

### 2.2.3 Background & Border Colors | 背景色&边框色
| Token Name | Hex | Usage |
|------------|-----|-------|
| dark-bg-disabled | #4A4A4A | 禁用背景 |
| dark-bg-page | #121212 | 页面背景 |
| dark-bg-content | #222222 | 内容区背景 |
| dark-bg-card | #2D2D2D | 卡片背景 |
| dark-bg-hover | #3F3F3F | 悬浮背景 |
| dark-divider | #4A4A4A | 分割线 |
| dark-border | #C1C1C1 | 边框 |

### 2.2.4 Auxiliary Colors | 辅助颜色
| Token Name | Hex | Usage |
|------------|-----|-------|
| dark-success | #50D4AB | 成功 |
| dark-warning | #FA9841 | 警告 |
| dark-warning-secondary | #FCC407 | 次警告 |
| dark-danger | #F66F6A | 错误 |
| dark-brand | #5E7DE0 | 品牌色 |

### 2.2.5 Text Colors | 文字颜色
| Token Name | Hex | Usage |
|------------|-----|-------|
| dark-text-primary | #F5F5F5 | 主要文字 |
| dark-text-secondary | #C1C1C1 | 次要文字 |
| dark-text-placeholder | #949494 | 占位文字 |
| dark-text-disabled | #707070 | 禁用文字 |
| dark-text-link | #7693F5 | 超链接文字 |

### 2.2.6 Tag Colors (Dark) | 标签颜色
| Token Name | Hex | Usage |
|------------|-----|-------|
| tag-story | #50D4AB | Story 标签 |
| tag-bug | #FA9841 | Bug 标签 |
| tag-task | #A6DD82 | Task 标签 |
| tag-feature | #6CBFFF | Feature 标签 |
| tag-epic | #7693F5 | Epic 标签 |

---

## 2.3 Extended Color Palette | 扩展色板

### Indigo Blue / 靛蓝 (品牌色梯度)
| Level | Hex | Description |
|-------|-----|-------------|
| 50 | #E9EDFA | 最浅，组件底色 |
| 100 | #BECCFA | 浅色 |
| 200 | #96ADFA | 中浅 |
| 300 | #7693F5 | 悬浮态 |
| 400 | #5E7CE0 | 品牌主色 (DEFAULT) |
| 500 | #526ECC | 按下态 |
| 600 | #465EB8 | 深色 |
| 700 | #3C51A6 | 较深 |
| 800 | #344899 | 深 |
| 900 | #2A3C85 | 最深 |

### Gray / 灰色 (中性色梯度)
| Level | Hex | Description |
|-------|-----|-------------|
| 50 | #F2F5FC | 悬浮背景 |
| 100 | #F5F5F6 | 禁用背景 |
| 200 | #EEF0F5 | 页面背景 |
| 300 | #DFE1E6 | 分割线 |
| 400 | #ADB0B8 | 边框 |
| 500 | #8A8E99 | 占位文字 |
| 600 | #575D6C | 次要文字 |
| 700 | #252B3A | 主要文字 |

### Navigation Dark Colors | 导航深色
| Level | Hex | Description |
|-------|-----|-------------|
| nav-1 | #5C6173 | 页面级标题栏 hover |
| nav-2 | #464C59 | 顶部标题栏、菜单下拉框背景色 |
| nav-3 | #282B33 | 顶部菜单 |

---

## 2.4 Typography | 排版

### Font Family | 字体族
```
font-family: "Huawei Sans", "PingFang SC", "Microsoft YaHei", Arial, sans-serif;
```
- macOS 中文: PingFang SC (第一) / Hiragino Sans GB (第二)
- Windows 中文: Microsoft YaHei (第一) / Microsoft JhengHei (第二)
- 英文: Huawei Sans (第一) / Arial (第二，降级)
- 版权: 方正黑体/方正宋体/方正楷体为免费字体; 微软雅黑授权至 2027.10.31

### Font Scale | 字号体系 (Regular / Bold)
| Level | Size | Weight | Line Height | Usage |
|-------|------|--------|-------------|-------|
| body | 12px | regular/bold | 18px (1.5) | 正文 |
| card-title | 14px | regular/bold | 20px (~1.43) | 卡片标题 |
| page-title | 16px | regular/bold | 24px (1.5) | 页面标题 |
| dialog-title | 20px | regular/bold | 30px (1.5) | 弹窗标题、数字 |
